url;name;page;execution_date;score_performance;score_accessibility;assets_total;assets_size;assets_scripts_total;assets_scripts_size;assets_styles_total;assets_styles_size;assets_images_total;assets_images_size;network_httprequests;network_ttfb;metrics_client_loading_experience;metrics_client_loading_experience_fcp;metrics_client_loading_experience_fid;metrics_first_contentful_paint;metrics_first_meaningful_paint;metrics_speed_index;metrics_speed_index_time;metrics_tti;metrics_performance_score;metrics_page_load;metrics_dom_size;metrics_total_blocking_time;metrics_max_potential_fid;co2_grams;co2_liters

https://www.idealista.com;idealista;home;2020-05-16T21:15:32.563Z;0.8;0.65;54;631959;22;382870;1;26607;17;136333;54;64.207;AVERAGE;AVERAGE;AVERAGE;2280;2280;0.99;2285.2671938845424;6062;0.8;874;954;514.5;252;0.38098405576951333;0.21190333181900334
https://www.amazon.es/gp/bestsellers/?ref_=nav_cs_bestsellers;amazon;listings;2020-05-16T21:15:32.563Z;0.85;0.87;96;447224;8;215852;6;37578;33;49411;96;259.625;AVERAGE;FAST;AVERAGE;2010;2085;0.93;3151.840553358361;5590.5;0.85;558;395;48;102;0.2696143473824486;0.14995950001411792
https://es.wallapop.com;wallapop;home;2020-05-16T21:15:32.563Z;0.22;0.58;179;1955460;61;1443714;4;36582;73;256006;179;53.924;SLOW;AVERAGE;SLOW;2250;6383.5;0.07;10808.950697254893;20599;0.22;3144;948;3758;1400;1.1788724928279406;0.6556888805109006
https://es.wallapop.com/search?;wallapop;listings;2020-05-16T21:15:32.563Z;0.22;0.65;201;2671196;76;1673305;4;36582;62;724278;201;33.794;SLOW;AVERAGE;SLOW;2100;5705.5;0.04;12394.7731116582;22900.5;0.22;2851;1140;3539.5;945;1.6103625169279985;0.8956836319153528
https://www.idealista.com/alquiler-viviendas/madrid-provincia/;idealista;listings;2020-05-16T21:15:32.563Z;0.44;0.82;81;1147120;33;743737;2;68072;22;175458;81;718.924;AVERAGE;AVERAGE;AVERAGE;2580;2580;0.56;5432.951360523155;12361;0.44;2523;2536;2137;731;0.6915550376754254;0.3846429119550716
https://www.amazon.es/;amazon;home;2020-05-16T21:15:32.561Z;0.68;0.93;181;2946223;14;241657;4;39170;93;1698144;181;545.764;AVERAGE;AVERAGE;AVERAGE;2610;2610;0.8;4064.3751412758666;7647.5;0.68;755;539;502.5;205;1.7761658394633562;0.9879034399095188
https://www.amazon.es/gp/bestsellers/?ref_=nav_cs_bestsellers;amazon;listings;2020-05-16T21:19:55.118Z;0.87;0.87;96;447398;8;215852;6;37578;33;49627;96;248.502;AVERAGE;FAST;AVERAGE;2010;2010;0.93;3122.518646699751;5221;0.87;518;396;37.5;102;0.2697192453674506;0.15001784427337606
https://www.idealista.com;idealista;home;2020-05-16T21:19:55.118Z;0.79;0.65;54;632248;22;383191;1;26607;17;136333;54;89.487;AVERAGE;AVERAGE;AVERAGE;2115;3083;0.99;2325.119392931083;6163;0.79;942;954;750.5;240;0.38115828288253395;0.2120002369392654
https://www.idealista.com/alquiler-viviendas/madrid-provincia/;idealista;listings;2020-05-16T21:19:55.118Z;0.51;0.82;82;1157158;33;743402;2;68072;22;185477;82;706.645;AVERAGE;AVERAGE;AVERAGE;2340;2580;0.72;4540.044441253056;11640;0.51;1965;2546;1192.5;462;0.6976065662584733;0.38800877215296287
